index,name,role,age,market_value,nationality,from_club,from_league,to_club,to_league,transfer_values
2041,Ulisses Garcia,Left-Back,22,400 Th. €,Switzerland,Werder Bremen,1.Bundesliga,BSC Young Boys,Super League,800 Th. €
2042,Lukas Grozurek,Left Winger,26,800 Th. €,Austria,Admira Wacker,Bundesliga,Sturm Graz,Bundesliga,?
2043,Arseni Logashov,Right-Back,27,800 Th. €,Russia,Baltika,1.Division,Rostov,Premier Liga,Free Transfer
2044,José Machín,Central Midfield,22,800 Th. €,Equatorial Guinea,AS Roma,Serie A,Pescara,Serie B,800 Th. €
2045,Gabriel Enache,Right-Back,28,800 Th. €,Romania,Rubin Kazan,Premier Liga,Partizan,SuperLiga,Free Transfer
2046,Guillermo Madrigal,Centre-Forward,25,800 Th. €,Mexico,Monterrey II,Monterrey II,Monterrey,Liga MX Apertura,-
2047,Wout Faes,Centre-Back,20,800 Th. €,Belgium,RSC Anderlecht,Jupiler Pro League,KV Oostende,Jupiler Pro League,300 Th. €
2048,Jairo González,Left-Back,26,800 Th. €,Mexico,Necaxa,Liga MX Apertura,Lobos,Liga MX Apertura,Loan
2049,Dragan Ceran,Centre-Forward,30,800 Th. €,Serbia,Nasaf Qarshi,Superliga,Pakhtakor,Superliga,?
2050,Khoren Bayramyan,Left Midfield,26,800 Th. €,Russia,Rostov,Premier Liga,Rubin Kazan,Premier Liga,Loan
2051,Ezekiel Henty,Centre-Forward,25,800 Th. €,Nigeria,Vidi FC,NB I.,Puskás AFC,NB I.,?
2052,Andreas Bouchalakis,Central Midfield,25,800 Th. €,Greece,Nottm Forest,Championship,Olympiacos,Super League,?
2053,Anthony Jung,Left-Back,26,800 Th. €,Germany,RB Leipzig,1.Bundesliga,Bröndby IF,Superligaen,800 Th. €
2054,David Pollet,Centre-Forward,30,800 Th. €,Belgium,RSC Charleroi,Jupiler Pro League,KAS Eupen,Jupiler Pro League,Loan
2055,Grégory Berthier,Left Midfield,22,800 Th. €,France,Reims,Ligue 1,Red Star FC,Ligue 2,Loan
2056,Nicolas Diguiny,Right Winger,30,800 Th. €,France,Atromitos Athen,Super League,Aris Saloniki,Super League,Free Transfer
2057,Xavier,Left Midfield,26,800 Th. €,Portugal,Paços Ferreira,Ledman Liga Pro,Tondela,Liga NOS,?
2058,Woo-young Jung,Defensive Midfield,28,800 Th. €,"Korea, South",Vissel Kobe,J1 League,Al Sadd,Stars League,?
2059,Juan Neira,Attacking Midfield,29,800 Th. €,Argentina,Zacatepec,Ascenso MX Apertura,OFI Crete,Super League,Free Transfer
2060,Rodri,Centre-Forward,28,800 Th. €,Spain,CyD Leonesa,2ª B - Grupo I,Granada CF,LaLiga2,70 Th. €
2061,Kekuta Manneh,Left Winger,23,800 Th. €,United States,CF Pachuca,Liga MX Apertura,FC St. Gallen,Super League,Free Transfer
2062,Martín Bravo,Second Striker,31,800 Th. €,Argentina,Tiburones Rojos,Liga MX Apertura,San Martín,Primera División,Free Transfer
2063,Johan Gastien,Central Midfield,30,800 Th. €,France,Stade Brest 29,Ligue 2,Clermont Foot,Ligue 2,?
2064,Tyler Boyd,Left Midfield,23,800 Th. €,New Zealand,Guimarães B,Ledman Liga Pro,Vit. Guimarães,Liga NOS,-
2065,Lucero Álvarez,Goalkeeper,33,800 Th. €,Uruguay,Lobos,Liga MX Apertura,Rionegro Águila,Liga Águila II,?
2066,Cédric Mongongu,Centre-Back,29,800 Th. €,DR Congo,Centre-Back,Without Club,FC Poli Iasi,Liga 1,-
2067,Javier Orozco,Centre-Forward,30,800 Th. €,Mexico,Santos Laguna,Liga MX Apertura,Tampico Madero,Ascenso MX Apertura,?
2068,Jerónimo Amione,Centre-Forward,28,800 Th. €,Mexico,Lobos,Liga MX Apertura,Oaxaca,Ascenso MX Apertura,?
2069,Marco Moscati,Central Midfield,25,800 Th. €,Italy,AS Livorno,Serie B,Novara,Serie C - A,150 Th. €
2070,Mauro Cejas,Attacking Midfield,33,800 Th. €,Argentina,Attacking Midfield,Without Club,Atlético Racing Córdoba,Atlético Racing Córdoba,-
2071,Matías Santos,Attacking Midfield,24,800 Th. €,Uruguay,Tiburones Rojos,Liga MX Apertura,Deportivo Pasto,Liga Águila II,Free Transfer
2072,Alejandro Castro,Defensive Midfield,31,800 Th. €,Mexico,San Luis,Ascenso MX Apertura,Celaya,Ascenso MX Apertura,?
2073,Heriberto Olvera,Left-Back,28,800 Th. €,Mexico,CF Pachuca,Liga MX Apertura,Atlas,Liga MX Apertura,Loan
2074,Lucas Ferrugem,Centre-Back,21,800 Th. €,Brazil,Braga B,Ledman Liga Pro,Braga,Liga NOS,-
2075,Ivanildo Fernandes,Centre-Back,22,800 Th. €,Portugal,Sporting B,Sporting B,Sporting CP U23,Sporting CP U23,-
2076,Alonso Escoboza,Left Winger,25,800 Th. €,Mexico,Club Tijuana,Liga MX Apertura,Dorados de Sin.,Ascenso MX Apertura,Loan
2077,César Ibáñez,Right-Back,26,800 Th. €,Mexico,Right-Back,Unknown,Correcaminos,Ascenso MX Apertura,?
2078,Fernando Madrigal,Defensive Midfield,26,800 Th. €,Mexico,Min. Zacatecas,Ascenso MX Apertura,San Luis,Ascenso MX Apertura,?
2079,Johan Arango,Left Midfield,27,800 Th. €,Colombia,FC Juárez,Ascenso MX Apertura,Al-Batin,Professional League,Free Transfer
2080,Carlos Ibargüen,Centre-Forward,22,800 Th. €,Colombia,FC Juárez,Ascenso MX Apertura,Correcaminos,Ascenso MX Apertura,?
2081,Jorge Aguirre,Right Winger,31,800 Th. €,Colombia,Junior FC,Liga Águila II,Indep. Santa Fe,Liga Águila II,?
2082,Rui Pedro,Centre-Forward,20,800 Th. €,Portugal,FC Porto,Liga NOS,Porto B,Ledman Liga Pro,-
2083,Sékou Condé,Centre-Back,25,800 Th. €,Guinea,Amkar Perm,Amkar Perm,LB Châteauroux,Ligue 2,Free Transfer
2084,Pablo Valcarce,Right Winger,25,800 Th. €,Spain,CD Numancia,LaLiga2,RCD Mallorca,LaLiga2,Free Transfer
2085,Iñigo Pérez,Central Midfield,30,800 Th. €,Spain,CD Numancia,LaLiga2,CA Osasuna,LaLiga2,750 Th. €
2086,Sergio González,Centre-Forward,23,800 Th. €,Argentina,Lanús,Primera División,Alki Oroklini,First Division,Loan
2087,Pierre Sagna,Right-Back,28,800 Th. €,Senegal,Moreirense ,Liga NOS,Belenenses,Liga NOS,Free Transfer
2088,Farshad Ahmadzadeh,Right Winger,25,800 Th. €,Iran,Persepolis,Persian Gulf Pro League,Slask Wroclaw,Ekstraklasa,Free Transfer
2089,Ezekiel Henty,Centre-Forward,25,800 Th. €,Nigeria,Puskás AFC,NB I.,NK Osijek,1.HNL,Loan
2090,Mathí­as Olivera,Left-Back,20,800 Th. €,Uruguay,Getafe CF,LaLiga,Albacete,LaLiga2,Loan
2091,Silvio Proto,Goalkeeper,35,800 Th. €,Belgium,Olympiacos,Super League,Lazio,Serie A,Free Transfer
2092,Milos Degenek,Centre-Back,24,800 Th. €,Australia,Yokohama F. M.,J1 League,Red Star,SuperLiga,200 Th. €
2093,Francesco Migliore,Left-Back,30,800 Th. €,Italy,Genoa,Serie A,Cremonese,Serie B,400 Th. €
2094,Rubén Martínez,Goalkeeper,34,800 Th. €,Spain,Dep. La Coruña,LaLiga2,CA Osasuna,LaLiga2,Free Transfer
2095,Eugeni Valderrama,Attacking Midfield,24,800 Th. €,Spain,Valencia B,2ª B - Grupo III,SD Huesca,LaLiga,Free Transfer
2096,Adam Tzanetopoulos,Centre-Back,23,800 Th. €,Greece,AEK Athens,Super League,Apollon Smyrnis,Super League,Free Transfer
2097,Sang-un Han,Centre-Forward,32,800 Th. €,"Korea, South",Ulsan,K League 1,Suwon FC,K League 2,?
2098,Ibrahim Sehic,Goalkeeper,29,800 Th. €,Bosnia-Herzegovina,Qarabag Agdam,Premyer Liqasi,BB Erzurumspor,Süper Lig,Free Transfer
2099,Marco Moscati,Central Midfield,25,800 Th. €,Italy,Novara,Serie C - A,Perugia,Serie B,300 Th. €
2100,Eddi Gomes,Centre-Back,29,800 Th. €,Guinea-Bissau,HN Jianye,Super League,Hafnarfjördur,Pepsideild,Loan
2101,Samuel Gustafson,Central Midfield,23,800 Th. €,Sweden,Torino,Serie A,Hellas Verona,Serie B,Loan
2102,Alejandro Castro,Defensive Midfield,31,800 Th. €,Mexico,Celaya,Ascenso MX Apertura,Santos Laguna,Liga MX Apertura,Loan
2103,Dairon Mosquera,Left-Back,26,800 Th. €,Colombia,CF Pachuca,Liga MX Apertura,Olimpia,Olimpia,Loan
2104,Carlos Rivas,Centre-Forward,24,800 Th. €,Colombia,NY Red Bulls,MLS,Atl. Nacional,Liga Águila II,Loan
2105,Jorge Enríquez,Defensive Midfield,27,800 Th. €,Mexico,Chivas,Liga MX Apertura,Omonia Nikosia,First Division,Free Transfer
2106,Joffre Guerrón,Centre-Forward,33,800 Th. €,Ecuador,UNAM Pumas,Liga MX Apertura,Barcelona SC,Serie A Segunda Etapa,Loan
2107,Ledian Memushaj,Central Midfield,31,800 Th. €,Albania,Benevento,Serie B,Pescara,Serie B,?
2108,Franco Arizala,Centre-Forward,32,800 Th. €,Colombia,A. Bucaramanga,Liga Águila II,Al Arabi,Stars League,?
2109,Jong-uh Park,Defensive Midfield,29,800 Th. €,"Korea, South",Emirates Club,UAE Gulf League,Suwon Bluewings,K League 1,?
2110,Arouca,Defensive Midfield,32,800 Th. €,Brazil,Palmeiras,Série A,EC Vitória,Série A,Loan
2111,Darko Velkovski,Centre-Back,23,800 Th. €,Macedonia,Vardar,Prva liga,HNK Rijeka,1.HNL,Free Transfer
2112,Rade Dugalic,Centre-Back,25,800 Th. €,Serbia,Tosno,Tosno,Enisey,Premier Liga,Free Transfer
2113,Jason Cummings,Centre-Forward,23,800 Th. €,Scotland,Nottm Forest,Championship,Peterborough,League One,Loan
2114,Lorenzo Montipò,Goalkeeper,22,800 Th. €,Italy,Novara,Serie C - A,Benevento,Serie B,Loan
2115,Mirko Ivanovski,Centre-Forward,28,800 Th. €,Macedonia,Slaven Belupo,1.HNL,Hajduk Split,1.HNL,Free Transfer
2116,Dmitri Yatchenko,Right-Back,32,800 Th. €,Russia,KS Samara,Premier Liga,Enisey,Premier Liga,Free Transfer
2117,Rafidine Abdullah,Defensive Midfield,24,800 Th. €,Comoros,Cádiz CF,LaLiga2,Waasl.-Beveren,Jupiler Pro League,Free Transfer
2118,Juan Lescano,Centre-Forward,25,800 Th. €,Argentina,Anzhi,Premier Liga,Tobol Kostanay,Premier Liga,Loan
2119,Mikel González,Centre-Back,32,800 Th. €,Spain,Real Zaragoza,LaLiga2,AEK Larnaca,First Division,Free Transfer
2120,Fabio Burbano,Left Winger,26,800 Th. €,Colombia,Rionegro Águila,Liga Águila II,Indep. Santa Fe,Liga Águila II,?
2121,Yaw Yeboah,Right Winger,21,800 Th. €,Ghana,Man City U23,Premier League 2,CD Numancia,LaLiga2,?
2122,Álvaro Navarro,Centre-Forward,33,800 Th. €,Uruguay,Centre-Forward,Without Club,Defensor,Primera División,-
2123,Andrija Lukovic,Central Midfield,23,800 Th. €,Serbia,Red Star,SuperLiga,Vozdovac ,SuperLiga,Free Transfer
2124,Durel Avounou,Central Midfield,20,800 Th. €,Congo,SM Caen,Ligue 1,US Orléans,Ligue 2,Loan
2125,Bruno Gallo,Central Midfield,30,800 Th. €,Brazil,Qatar SC,Stars League,Chaves,Liga NOS,?
2126,Matías Santos,Attacking Midfield,24,800 Th. €,Uruguay,Deportivo Pasto,Liga Águila II,Defensor,Primera División,Free Transfer
2127,Dusan Cvetinovic,Centre-Back,29,800 Th. €,Serbia,Lens,Ligue 2,Yokohama F. M.,J1 League,450 Th. €
2128,Ibrahima Conté,Centre-Back,22,800 Th. €,Guinea,FC Lorient,Ligue 2,FC Niort,Ligue 2,Loan
2129,Elio Capradossi,Centre-Back,22,800 Th. €,Italy,AS Roma,Serie A,Spezia Calcio,Serie B,Loan
2130,Salvador Agra,Right Winger,26,800 Th. €,Portugal,Benfica,Liga NOS,Cádiz CF,LaLiga2,Loan
2131,Alef,Defensive Midfield,23,800 Th. €,Brazil,Braga,Liga NOS,AEK Athens,Super League,Loan
2132,Guillermo Cotugno,Right-Back,23,800 Th. €,Uruguay,Real Oviedo,LaLiga2,Nacional,Primera División,Free Transfer
2133,Christian Ramos,Centre-Back,29,800 Th. €,Peru,Tiburones Rojos,Liga MX Apertura,Al-Nassr,Professional League,?
2134,Fabio Burbano,Left Winger,26,800 Th. €,Colombia,Indep. Santa Fe,Liga Águila II,Rampla Jrs,Primera División,Loan
2135,Marco Carraro,Defensive Midfield,20,800 Th. €,Italy,Atalanta,Serie A,Foggia,Serie B,Loan
2136,Rafael,Goalkeeper,28,800 Th. €,Brazil,SSC Napoli,Serie A,Sampdoria,Serie A,Free Transfer
2137,Alemão,Centre-Back,27,800 Th. €,Brazil,Avaí FC,Série B,Al-Hazm,Professional League,?
2138,Pavel Yakovlev,Left Winger,27,800 Th. €,Russia,Anzhi,Premier Liga,KS Samara,Premier Liga,Free Transfer
2139,Brandon Borrello,Right Winger,23,800 Th. €,Australia,1.FC K'lautern,3.Liga,SC Freiburg,1.Bundesliga,Free Transfer
2140,Juan Carlos,Goalkeeper,31,800 Th. €,Spain,Real Oviedo,LaLiga2,CD Numancia,LaLiga2,Free Transfer
2141,Alaixys Romao,Defensive Midfield,34,800 Th. €,Togo,Olympiacos,Super League,Reims,Ligue 1,Free Transfer
2142,Soroosh Rafiei,Attacking Midfield,28,800 Th. €,Iran,Al Khor,Stars League,Foolad,Persian Gulf Pro League,Free Transfer
2143,Márcio Azevedo,Left-Back,32,800 Th. €,Brazil,Shakhtar D.,Premier Liga,Atlético-PR,Série A,Free Transfer
2144,Nikita Korzun,Defensive Midfield,23,800 Th. €,Belarus,Dynamo Kyiv,Premier Liga,Dinamo Minsk,Vysheyshaya Liga,Loan
2145,Massimo Volta,Centre-Back,31,800 Th. €,Italy,Perugia,Serie B,Benevento,Serie B,Loan
2146,Robinho,Right Winger,23,800 Th. €,Brazil,Fluminense,Série A,América-MG,Série A,Loan
2147,Ivanildo Fernandes,Centre-Back,22,800 Th. €,Portugal,Sporting CP U23,Sporting CP U23,Moreirense ,Liga NOS,Loan
2148,Riccardo Marchizza,Centre-Back,20,800 Th. €,Italy,Sassuolo,Serie A,Crotone,Serie B,Loan
2149,Brwa Nouri,Defensive Midfield,31,800 Th. €,Iraq,Östersund,Allsvenskan,Bali United,Liga 1,?
2150,Loris Néry,Right-Back,27,800 Th. €,France,Valenciennes FC,Ligue 2,AS Nancy,Ligue 2,Free Transfer
2151,Blessing Eleke,Centre-Forward,22,700 Th. €,Nigeria,FC Ashdod,Ligat ha'Al,FC Luzern,Super League,800 Th. €
2152,David Simón,Right-Back,29,800 Th. €,Spain,UD Las Palmas,LaLiga2,Dep. La Coruña,LaLiga2,Free Transfer
2153,José Antonio Caro,Goalkeeper,24,800 Th. €,Spain,Sevilla Atl.,2ª B - Grupo IV,Real Valladolid,LaLiga,Free Transfer
2154,José Antonio Caro,Goalkeeper,24,800 Th. €,Spain,Real Valladolid,LaLiga,Albacete,LaLiga2,Loan
2155,Tito,Right-Back,33,800 Th. €,Spain,CD Leganés,LaLiga,Rayo Vallecano,LaLiga,Free Transfer
2156,Fabrício,Centre-Back,28,800 Th. €,Brazil,Aktobe,Premier Liga,Guarani,Série B,Free Transfer
2157,Otar Kiteishvili,Central Midfield,22,800 Th. €,Georgia,Dinamo Tbilisi,Erovnuli Liga,Sturm Graz,Bundesliga,760 Th. €
2158,Patrick Fabiano,Centre-Forward,30,800 Th. €,Brazil,Al-Kuwait,Al-Kuwait,Al-Salmiya,Al-Salmiya,?
2159,Nicolas Gavory,Left-Back,23,800 Th. €,France,Clermont Foot,Ligue 2,FC Utrecht,Eredivisie,?
2160,Xavi Torres,Defensive Midfield,31,800 Th. €,Spain,Perth Glory,A-League,Elche CF,LaLiga2,Free Transfer
2161,Ashkan Dejagah,Right Winger,32,800 Th. €,Iran,Nottm Forest,Championship,Tractor Sazi,Persian Gulf Pro League,Free Transfer
2162,Giorgi Aburjania,Central Midfield,23,800 Th. €,Georgia,Sevilla Atl.,2ª B - Grupo IV,CD Lugo,LaLiga2,Loan
2163,Eugeni Valderrama,Attacking Midfield,24,800 Th. €,Spain,SD Huesca,LaLiga,Albacete,LaLiga2,Loan
2164,Facundo Erpen,Centre-Back,35,800 Th. €,Argentina,Atlas,Liga MX Apertura,San Martín,Primera División,Free Transfer
2165,Guillaume Gillet,Defensive Midfield,34,800 Th. €,Belgium,Olympiacos,Super League,Lens,Ligue 2,ablösefrei 
2166,Esteban Rolón,Defensive Midfield,23,800 Th. €,Argentina,Málaga CF,LaLiga2,Genoa,Serie A,Loan
2167,Morteza Tabrizi,Centre-Forward,27,800 Th. €,Iran,Zob Ahan,Persian Gulf Pro League,Esteghlal FC ,Persian Gulf Pro League,180 Th. €
2168,Julio Angulo,Right Winger,28,800 Th. €,Ecuador,Huracán,Primera División,LDU Quito,Serie A Segunda Etapa,Free Transfer
2169,Guillermo Sara,Goalkeeper,30,800 Th. €,Argentina,Boca Juniors,Primera División,Lanús,Primera División,700 Th. €
2170,Diego Capel,Left Winger,30,800 Th. €,Spain,Left Winger,Without Club,Extremadura UD,LaLiga2,-
2171,Alexander González,Right-Back,25,800 Th. €,Venezuela,SD Huesca,LaLiga,Elche CF,LaLiga2,Free Transfer
2172,Jonathan Pitroipa,Right Winger,32,800 Th. €,Burkina Faso,Royal Antwerp,Jupiler Pro League,Paris FC,Ligue 2,ablösefrei 
2173,Matthieu Saunier,Centre-Back,28,800 Th. €,France,Granada CF,LaLiga2,FC Lorient,Ligue 2,300 Th. €
2174,Iñigo Ruiz de Galarreta,Central Midfield,25,800 Th. €,Spain,FC Barcelona B,2ª B - Grupo III,UD Las Palmas,LaLiga2,500 Th. €
2175,Christos Aravidis,Centre-Forward,31,800 Th. €,Greece,Centre-Forward,Without Club,OFI Crete,Super League,-
2176,Bacary Sagna,Right-Back,35,800 Th. €,France,Benevento,Serie B,Montreal Impact,MLS,Free Transfer
2177,Salvatore Molina,Right Midfield,26,800 Th. €,Italy,Atalanta,Serie A,Crotone,Serie B,?
2178,Emiliano Amor,Centre-Back,23,800 Th. €,Argentina,Vélez Sarsfield,Primera División,Aldosivi,Primera División,Loan
2179,Adrian Semper,Goalkeeper,20,800 Th. €,Croatia,Dinamo Zagreb,1.HNL,Chievo Verona,Serie A,Loan
2180,Jon Gudni Fjóluson,Centre-Back,29,800 Th. €,Iceland,Norrköping,Allsvenskan,Krasnodar,Premier Liga,?
2181,Andrey Panyukov,Centre-Forward,23,800 Th. €,Russia,Zenit 2 S-Pb,1.Division,Ural,Premier Liga,Loan
2182,Pervis Estupiñán,Left-Back,20,800 Th. €,Ecuador,Watford U23,Watford U23,RCD Mallorca,LaLiga2,Loan
2183,Robin Söder,Centre-Forward,27,800 Th. €,Sweden,KSC Lokeren,Jupiler Pro League,IFK Göteborg,Allsvenskan,?
2184,Bruno Gama,Right Winger,30,800 Th. €,Portugal,Alcorcón,LaLiga2,Aris Saloniki,Super League,Free Transfer
2185,Chinedu Obasi,Right Winger,32,800 Th. €,Nigeria,Bolton,Championship,Elfsborg,Allsvenskan,Free Transfer
2186,Raúl Lizoain,Goalkeeper,27,800 Th. €,Spain,UD Las Palmas,LaLiga2,Alcorcón,LaLiga2,Free Transfer
2187,Valeri Fedorchuk,Central Midfield,29,800 Th. €,Ukraine,Central Midfield,Without Club,FK Mariupol,Premier Liga,-
2188,Óscar Rodríguez,Attacking Midfield,20,800 Th. €,Spain,RM Castilla,2ª B - Grupo I,CD Leganés,LaLiga,Loan
2189,Tomás Pekhart,Centre-Forward,29,800 Th. €,Czech Republic,H. Beer Sheva,Ligat ha'Al,UD Las Palmas,LaLiga2,Free Transfer
2190,Rémy Dugimont,Attacking Midfield,32,800 Th. €,France,Clermont Foot,Ligue 2,AJ Auxerre,Ligue 2,?
2191,Esquerdinha,Left Midfield,28,800 Th. €,Brazil,Cuiabá-MT,Cuiabá-MT,Najran,Najran,Free Transfer
2192,Guilherme Augusto,Left Winger,23,800 Th. €,Brazil,Grêmio,Série A,Coritiba FC,Série B,Loan
2193,Mohamed Larbi,Attacking Midfield,30,800 Th. €,Tunisia,Tours FC,Championnat National,Esperance,Ligue I Pro,Free Transfer
2194,Mateus,Left Winger,23,800 Th. €,Brazil,Club Tijuana,Liga MX Apertura,Sport Recife,Série A,Loan
2195,Dani Pacheco,Left Winger,27,800 Th. €,Spain,Getafe CF,LaLiga,Málaga CF,LaLiga2,Free Transfer
2196,Emiliano Vecchio,Attacking Midfield,29,800 Th. €,Argentina,Santos FC,Série A,Shabab Dubai,UAE Gulf League,Loan
2197,Petko Hristov,Centre-Back,19,800 Th. €,Bulgaria,Fiorentina,Serie A,Ternana,Serie C - B,Loan
2198,Andrea La Mantia,Centre-Forward,27,700 Th. €,Italy,Virtus Entella,Serie C - A,Lecce,Serie B,800 Th. €
2199,Daniel Hernández,Attacking Midfield,27,800 Th. €,Colombia,Rionegro Águila,Liga Águila II,San Lorenzo,Primera División,Free Transfer
2200,Lucas Chiaretti,Attacking Midfield,30,800 Th. €,Brazil,Cittadella,Serie B,Foggia,Serie B,?
2201,Nikola Ninkovic,Left Winger,23,800 Th. €,Serbia,Genoa,Serie A,Ascoli,Serie B,?
2202,Kermit Erasmus,Left Winger,28,800 Th. €,South Africa,AFC Eskilstuna,Superettan,Vitória Setúbal,Liga NOS,?
2203,Marko Mihojevic,Centre-Back,22,800 Th. €,Bosnia-Herzegovina,PAOK Saloniki,Super League,OFI Crete,Super League,Loan
2204,Andrej Lukic,Centre-Back,24,800 Th. €,Croatia,Braga,Liga NOS,Apollon Smyrnis,Super League,Loan
2205,Norbert Balogh,Centre-Forward,22,800 Th. €,Hungary,US Palermo,Serie B,APOEL Nicosia,First Division,Loan
2206,Aziz Bouhaddouz,Centre-Forward,31,800 Th. €,Morocco,FC St. Pauli,2.Bundesliga,Al-Batin,Professional League,750 Th. €
2207,Adam Nemec,Centre-Forward,32,800 Th. €,Slovakia,Dinamo Bukarest,Liga 1,Pafos FC,First Division,Free Transfer
2208,Nicolás Pareja,Centre-Back,34,800 Th. €,Argentina,Sevilla FC,LaLiga,Atlas,Liga MX Apertura,Free Transfer
2209,Brayan Angulo,Attacking Midfield,25,800 Th. €,Colombia,Indep. Medellín,Liga Águila II,Pafos FC,First Division,Free Transfer
2210,Nicolás Martínez,Attacking Midfield,30,800 Th. €,Argentina,Olympiacos,Super League,Aris Saloniki,Super League,Free Transfer
2211,Filip Raicevic,Centre-Forward,25,800 Th. €,Montenegro,Bari,Serie D - H,AS Livorno,Serie B,Free Transfer
2212,Franck Honorat,Right Midfield,22,800 Th. €,France,Clermont Foot,Ligue 2,Saint-Étienne,Ligue 1,?
2213,Franck Honorat,Right Midfield,22,800 Th. €,France,Saint-Étienne,Ligue 1,Clermont Foot,Ligue 2,Loan
2214,Eren Albayrak,Left-Back,27,800 Th. €,Turkey,Konyaspor,Süper Lig,Júbilo Iwata,J1 League,Free Transfer
2215,Stjepan Kukuruzovic,Central Midfield,29,800 Th. €,Switzerland,FC St. Gallen,Super League,Lausanne-Sport,Challenge League,?
2216,Gwion Edwards,Left Winger,25,200 Th. €,Wales,Peterborough,League One,Ipswich,Championship,790 Th. €
2217,José Alí Meza,Centre-Forward,27,550 Th. €,Venezuela,Oriente P.,Oriente P.,Sundowns,ABSA Premiership,785 Th. €
2218,Matías Caruzzo,Centre-Back,34,750 Th. €,Argentina,San Lorenzo,Primera División,CA Rosario,Primera División,760 Th. €
2219,Ragab Bakar,Right-Back,27,350 Th. €,Egypt,Smouha,Premier League,Pyramids FC,Premier League,760 Th. €
2220,Jhonnattann,Right Winger,29,750 Th. €,Brazil,Valletta,Premier League,Taawon,Professional League,Loan
2221,Francesco Renzetti,Left-Back,30,750 Th. €,Italy,Genoa,Serie A,Cremonese,Serie B,400 Th. €
2222,László Kleinheisler,Attacking Midfield,24,750 Th. €,Hungary,Werder Bremen,1.Bundesliga,FC Astana,Premier Liga,750 Th. €
2223,Matej Delac,Goalkeeper,26,750 Th. €,Croatia,Chelsea,Premier League,AC Horsens,Superligaen,Free Transfer
2224,John Verhoek,Centre-Forward,29,750 Th. €,Netherlands,1.FC Heidenheim,2.Bundesliga,MSV Duisburg,2.Bundesliga,Free Transfer
2225,Damian van Bruggen,Centre-Back,22,750 Th. €,Netherlands,PSV U21,Keuken Kampioen Divisie,VVV-Venlo,Eredivisie,Free Transfer
2226,Kristal Abazaj,Right Winger,22,625 Th. €,Albania,KF Skënderbeu,Kategoria Superiore,RSC Anderlecht,Jupiler Pro League,750 Th. €
2227,Román Martínez,Central Midfield,35,750 Th. €,Argentina,Lanús,Primera División,CD Morón,Primera B Nacional,Free Transfer
2228,Michael McGlinchey,Attacking Midfield,31,750 Th. €,New Zealand,Wellington P.,A-League,Central Coast,A-League,Free Transfer
2229,Mohamed Benyettou,Centre-Forward,28,750 Th. €,Algeria,Shabab,Professional League,Fujairah SC,UAE Gulf League,?
2230,Amine Attouchi,Centre-Back,26,750 Th. €,Morocco,Wydad AC,Botola Pro,Al-Dhafra SCC,UAE Gulf League,Free Transfer
2231,Adil Hermach,Defensive Midfield,32,750 Th. €,Morocco,Al-Dhafra SCC,UAE Gulf League,Ajman Club,UAE Gulf League,Free Transfer
2232,Christos Albanis,Left Winger,23,750 Th. €,Greece,Apollon Smyrnis,Super League,AEK Athens,Super League,400 Th. €
2233,Ádám Gyurcsó,Left Winger,27,750 Th. €,Hungary,Pogon Szczecin,Ekstraklasa,Hajduk Split,1.HNL,450 Th. €
2234,Lisandro Semedo,Right Winger,22,750 Th. €,Portugal,Apol. Limassol,First Division,Fortuna Sittard,Eredivisie,?
2235,Tomislav Mrcela,Centre-Back,27,750 Th. €,Australia,Jeonnam Dragons,K League 1,Perth Glory,A-League,Free Transfer
2236,Zouheir Laaroubi,Goalkeeper,34,750 Th. €,Morocco,Wydad AC,Botola Pro,Ohod Al-Medina,Professional League,Free Transfer
2237,John O'Shea,Centre-Back,37,750 Th. €,Ireland,Sunderland,League One,Reading,Championship,Free Transfer
2238,Roland Alberg,Attacking Midfield,28,750 Th. €,Netherlands,CSKA Sofia,Parva Liga,Panionios,Super League,Free Transfer
2239,Mugdat Celik,Centre-Forward,28,750 Th. €,Turkey,Akhisarspor,Süper Lig,Galatasaray,Süper Lig,Free Transfer
2240,Ricardo Gomes,Centre-Forward,26,750 Th. €,Cape Verde,Nacional,Liga NOS,Partizan,SuperLiga,Free Transfer
2241,Hassan Muath,Right-Back,32,750 Th. €,Saudi Arabia,Al-Feiha,Professional League,Ittihad,Professional League,?
2242,Goran Milovic,Centre-Back,29,750 Th. €,Croatia,CQ Dangdai Lif.,Super League,KV Oostende,Jupiler Pro League,Free Transfer
2243,Rami Jeridi,Goalkeeper,33,750 Th. €,Tunisia,CS Sfaxien,Ligue I Pro,Esperance,Ligue I Pro,Free Transfer
2244,Florian Hübner,Centre-Back,27,750 Th. €,Germany,Hannover 96,1.Bundesliga,Union Berlin,2.Bundesliga,500 Th. €
2245,Lars Veldwijk,Centre-Forward,27,750 Th. €,South Africa,FC Groningen,Eredivisie,Sparta R.,Keuken Kampioen Divisie,Free Transfer
2246,Sabien Lilaj,Central Midfield,29,750 Th. €,Albania,KF Skënderbeu,Kategoria Superiore,FK Gabala,Premyer Liqasi,Free Transfer
2247,Jason Holt,Central Midfield,25,750 Th. €,Scotland,Rangers,Premiership,Fleetwood Town,League One,Loan
2248,Mërgim Berisha,Centre-Forward,20,750 Th. €,Kosovo,RB Salzburg,Bundesliga,1.FC Magdeburg,2.Bundesliga,Loan
